value,type,path-to-net
1.000000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/0.xml
0.900000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/1.xml
0.866667,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/2.xml
0.733333,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/3.xml
0.700000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/4.xml
0.737363,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/5.xml
0.762179,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/6.xml
0.779487,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/7.xml
0.735256,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/8.xml
0.651502,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/9.xml
0.637436,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/10.xml
0.637436,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/11.xml
0.630544,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/12.xml
0.637422,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/13.xml
0.627944,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/14.xml
0.627440,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/15.xml
0.627308,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/16.xml
