value,type,path-to-net
1.000000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/0.xml
0.978947,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/1.xml
0.971930,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/2.xml
0.943860,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/3.xml
0.936842,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/4.xml
0.906478,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/5.xml
0.896356,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/6.xml
0.825506,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/7.xml
0.744534,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/8.xml
0.678785,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/9.xml
0.654494,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/10.xml
0.756866,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/11.xml
0.748319,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/12.xml
0.708433,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/13.xml
0.634359,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/14.xml
0.634359,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/15.xml
0.634359,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/16.xml
