value,type,path-to-net
1.000000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/0.xml
0.966667,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/1.xml
0.955556,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/2.xml
0.911111,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/3.xml
0.900000,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/4.xml
0.887179,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/5.xml
0.882906,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/6.xml
0.852991,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/7.xml
0.818803,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/8.xml
0.761709,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/9.xml
0.751453,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/10.xml
0.751453,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/11.xml
0.746325,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/12.xml
0.702949,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/13.xml
0.619615,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/14.xml
0.619615,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/15.xml
0.619615,v3,/Users/lulu-markov/git/petri-nets-structural-complexity/research/experiment-1/16.xml
